Dấu thời gian,1. Please specify your age: ,2. Please select your gender:,3. Please select your College:,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?,What is your major,What is your major,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?
15/05/2026 14:56:20,20,Male,CBM (Business and Management),2nd Year,3.5 – 4.0,Yes,4,5,"Private space (i.e. bedroom, home office)",8,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,6,6,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:59:04,18,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,10,6,All above,6,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Agree,Agree,5,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 15:04:36,19,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,5,7,"Private space (i.e. bedroom, home office)",5,Disagree,Disagree,Agree,Neutral,Disagree,Somewhat Disagree,Agree,Disagree,Agree,Disagree,Disagree,4,4,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 15:05:56,18,Female,CHS (Health Science),1st Year,3.0 – 3.49,No,8,5,"Private space (i.e. bedroom, home office)",5,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,4,7,Lê Huy Tâm,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 15:07:24,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,Yes,2.5,3,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,5,4,Ong Quỳnh Trâm
15/05/2026 15:07:43,20,Male,CBM (Business and Management),2nd Year,3.0 – 3.49,Yes,4,5,"Private space (i.e. bedroom, home office)",7,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 15:14:24,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,8,8,"Private space (i.e. bedroom, home office)",12,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,4,3,"Đặng Tuấn Kiệt, Lê Huy Tâm, Hỏa Thúy Quỳnh, Ong Quỳnh Trâm, Đỗ Vĩnh Nhi, Bùi Duy Linh, Lê Công Duy, Phan Minh Đức, Nguyễn Trọng Nhân, Nguyễn Hà My, Nguyễn Cảnh Kỳ",,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 15:15:55,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,Yes,4,4,Cafes,8,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,5,6,Nguyễn Hà My
15/05/2026 15:16:18,18,Male,CECS (Engineering & Computer Science),1st Year,2.0 – 2.49,Yes,20,17,"Private space (i.e. bedroom, home office)",20,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,4,2,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 15:20:03,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,3rd Year,3.5 – 4.0,No,8,3,"Private space (i.e. bedroom, home office)",11,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,4,4,Ong Quỳnh Trâm
15/05/2026 15:35:14,18,Male,CBM (Business and Management),1st Year,3.0 – 3.49,No,7,5,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Neutral,Agree,5,7,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 15:37:29,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,3,8,"Private space (i.e. bedroom, home office)",8,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,4,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 16:28:17,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Journalism,,1st Year,3.5 – 4.0,Yes,2,4,"Private space (i.e. bedroom, home office)",8,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,5,5,Ong Quỳnh Trâm
15/05/2026 16:34:59,18,Female,CHS (Health Science),1st Year,3.0 – 3.49,No,4,3,Open learning space (i.e. university library),7,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,4,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 18:09:31,19,Male,CBM (Business and Management),1st Year,< 2.0,No,2,3,Collaborative space (i.e. group study room),8,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4,1,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 20:59:02,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,2.5,7,"all places above, and all places possible like pantry rooms, JA102, etc",6,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,5,7,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 21:12:20,18,Female,CHS (Health Science),1st Year,3.0 – 3.49,No,7,5,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,5,"Hỏa Thúy Quỳnh, Ong Quỳnh Trâm",,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 21:12:27,18,Male,CAS (Arts and Sciences),1st Year,3.5 – 4.0,No,15,20,"Private space (i.e. bedroom, home office)",8,Strongly Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Neutral,6,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 21:38:51,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Healthcare,,1st Year,3.5 – 4.0,No,5,4,Open learning space (i.e. university library),9,Agree,Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,2,2,"Lê Huy Tâm, Phan Minh Đức"
15/05/2026 22:09:05,19,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,1st Year,3.5 – 4.0,No,5,4,Open learning space (i.e. university library),8,Agree,Strongly Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,3,6,Lê Huy Tâm
16/05/2026 0:51:48,20,Male,CHS (Health Science),1st Year,3.5 – 4.0,Yes,4,8,"Private space (i.e. bedroom, home office)",5,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,5,6,Lê Huy Tâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 0:53:10,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,6,5,Collaborative space (i.e. group study room),6,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,4,7,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 15:55:40,18,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,6,8,Cafes,8,Strongly Agree,Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Agree,5,3,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 16:43:56,18,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,4,2,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,5,6,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 16:45:51,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,8,9,"Private space (i.e. bedroom, home office)",7,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,6,4,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 16:45:59,19,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,7,3,Open learning space (i.e. university library),8,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,4,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 16:52:16,19,Male,CBM (Business and Management),2nd Year,3.5 – 4.0,Yes,4,6,"Private space (i.e. bedroom, home office)",6,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,5,3,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 17:58:56,18,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,1st Year,2.5 – 2.99,Yes,8,4,"Private space (i.e. bedroom, home office)",6,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,4,7,Đặng Tuấn Kiệt
16/05/2026 18:06:11,20,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Social Sciences,,2nd Year,3.0 – 3.49,Yes,8,5,Cafes,4,Neutral,Strongly Agree,Somewhat Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Somewhat Agree,Strongly Agree,5,6,Đặng Tuấn Kiệt
16/05/2026 18:12:34,19,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,2,8,"Private space (i.e. bedroom, home office)",6,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,5,4,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 18:17:31,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Social Sciences,,2nd Year,3.0 – 3.49,No,10,2,Open learning space (i.e. university library),7,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Agree,Agree,5,6,Đặng Tuấn Kiệt
16/05/2026 19:00:20,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,2,6,Open learning space (i.e. university library),7,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,5,7,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 19:41:15,18,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,1st Year,3.5 – 4.0,No,2.5,4,"Private space (i.e. bedroom, home office)",5.5,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Agree,Agree,5,5,Đặng Tuấn Kiệt
16/05/2026 21:44:24,18,Male,CHS (Health Science),1st Year,3.5 – 4.0,No,6,4,"Private space (i.e. bedroom, home office)",8,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,5,5,Nguyễn Trọng Nhân,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 21:55:05,22,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,4th Year,3.0 – 3.49,Yes,3,4,"Private space (i.e. bedroom, home office)",8,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,6,5,Nguyễn Cảnh Kỳ
16/05/2026 22:00:35,20,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Psychology,,3rd Year,2.5 – 2.99,Yes,5,3,"Private space (i.e. bedroom, home office)",7,Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,2,2,Nguyễn Cảnh Kỳ
16/05/2026 22:03:44,19,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,2,3,"Private space (i.e. bedroom, home office)",8,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Disagree,6,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 22:19:06,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,8,2,Cafes,5,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,5,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
16/05/2026 22:56:32,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.5 – 4.0,No,5,5,"Private space (i.e. bedroom, home office)",8,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,6,4,Hỏa Thúy Quỳnh
17/05/2026 0:01:50,19,Male,CHS (Health Science),2nd Year,3.5 – 4.0,No,2,10,Open learning space (i.e. university library),6,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,6,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 9:36:26,21,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,3rd Year,3.0 – 3.49,Yes,2,4,"Private space (i.e. bedroom, home office)",8,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,6,3,Nguyễn Cảnh Kỳ
17/05/2026 10:50:46,18,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4,2,"Private space (i.e. bedroom, home office)",6,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,4,5,"Lê Công Duy, Nguyễn Hà My",,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 11:27:00,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,2,5,Collaborative space (i.e. group study room),4,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Disagree,6,5,"Hỏa Thúy Quỳnh, Đỗ Vĩnh Nhi",,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 11:37:08,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.5 – 4.0,Yes,5,2,"Private space (i.e. bedroom, home office)",7,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,6,3,Phan Minh Đức
17/05/2026 12:00:58,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,3,8,Cafes,6,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,5,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 12:02:40,21,Prefer not to say,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,4th Year,3.0 – 3.49,Yes,1,10,Open learning space (i.e. university library),4,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,4,5,Đỗ Vĩnh Nhi
17/05/2026 12:03:48,18,Other,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,1st Year,3.0 – 3.49,No,2,7,Open learning space (i.e. university library),5,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,4,3,Đỗ Vĩnh Nhi
17/05/2026 12:24:30,22,Female,CBM (Business and Management),2nd Year,3.5 – 4.0,No,3,9,Open learning space (i.e. university library),7,Agree,Somewhat Disagree,Agree,Agree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Neutral,5,6,idk,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 13:28:42,19,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Aerospace Engineering ,,1st Year,2.5 – 2.99,No,7,2,Cafes,6,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,5,3,Phan Minh Đức
17/05/2026 16:07:05,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,3,4,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Strongly Disagree,Neutral,5,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 17:07:04,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,3,5,Open learning space (i.e. university library),5,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,5,3,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 17:17:59,19,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Pilot,,1st Year,3.0 – 3.49,No,4,4,"Private space (i.e. bedroom, home office)",8,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,4,"Lê Huy Tâm, Phan Minh Đức"
17/05/2026 17:27:01,18,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,1st Year,3.0 – 3.49,Yes,2,2,Open learning space (i.e. university library),8,Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,6,5,Phan Minh Đức
17/05/2026 18:43:54,20,Male,CHS (Health Science),1st Year,3.0 – 3.49,No,3,7,Open learning space (i.e. university library),5,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,4,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 18:46:31,20,Prefer not to say,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,3rd Year,3.0 – 3.49,Yes,4,12,Cafes,3,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5,6,Đỗ Vĩnh Nhi
17/05/2026 18:47:39,18,Other,CAS (Arts and Sciences),1st Year,3.0 – 3.49,No,5,9,Cafes,5,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,5,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 19:20:38,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.5 – 4.0,Yes,3,3,Open learning space (i.e. university library),7,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Somewhat Agree,Agree,Strongly Disagree,5,1,Ong Quỳnh Trâm
17/05/2026 19:21:02,18,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,1st Year,3.5 – 4.0,No,5,6,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,4,5,Ong Quỳnh Trâm
17/05/2026 19:32:54,18,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,No,3,4,"Private space (i.e. bedroom, home office)",6,Neutral,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,5,6,Ong Quỳnh Trâm
17/05/2026 20:41:09,19,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.5 – 4.0,No,5,10,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,4,4,Ong Quỳnh Trâm
17/05/2026 23:10:41,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,3,7,Cafes,5,Disagree,Disagree,Neutral,Neutral,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,3,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
17/05/2026 23:12:03,20,Prefer not to say,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,3rd Year,3.5 – 4.0,Yes,1,8,Cafes,6,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Disagree,4,5,Đỗ Vĩnh Nhi
